epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.386,1.1347,1.46975,0.95625,0.93392,0.86917,0.93428,0.65274,0.98324,0.55496,0.9423,0.0670829,0.000332496,0.000332496
2,247.309,1.04664,0.60589,0.91139,0.94755,0.91278,0.95582,0.68178,0.96733,0.49793,0.93232,0.0340697,0.000652646,0.000652646
3,366.234,1.02236,0.55178,0.90038,0.96121,0.92999,0.96858,0.69766,0.96302,0.49882,0.935,0.00104335,0.000959596,0.000959596
4,484.684,0.98592,0.52127,0.89269,0.95118,0.92394,0.9665,0.68489,0.96551,0.49645,0.93508,0.0009406,0.0009406,0.0009406
5,603.063,0.96726,0.49852,0.8921,0.95798,0.93611,0.97453,0.7082,0.95602,0.46455,0.93081,0.0009208,0.0009208,0.0009208
6,721.42,0.95074,0.48833,0.88208,0.94406,0.95842,0.97733,0.71346,0.95804,0.47978,0.92959,0.000901,0.000901,0.000901
7,839.992,0.93451,0.47672,0.88181,0.93302,0.96552,0.97936,0.7216,0.95129,0.44761,0.92552,0.0008812,0.0008812,0.0008812
8,958.286,0.92538,0.46255,0.87639,0.95089,0.94219,0.97724,0.72004,0.93696,0.45934,0.92361,0.0008614,0.0008614,0.0008614
9,1076.52,0.9178,0.45445,0.87946,0.96255,0.94219,0.97783,0.71874,0.93249,0.46076,0.92835,0.0008416,0.0008416,0.0008416
10,1194.84,0.90891,0.44708,0.87406,0.94563,0.95247,0.97822,0.7287,0.91725,0.43724,0.92271,0.0008218,0.0008218,0.0008218
11,1313.39,0.90392,0.44591,0.87884,0.94653,0.95842,0.97948,0.7305,0.9426,0.45581,0.93021,0.000802,0.000802,0.000802
12,1431.5,0.88503,0.43774,0.87039,0.96461,0.94422,0.97866,0.72626,0.94898,0.44115,0.92928,0.0007822,0.0007822,0.0007822
13,1549.94,0.86643,0.42448,0.86558,0.95685,0.94446,0.97619,0.7333,0.92535,0.44429,0.9236,0.0007624,0.0007624,0.0007624
14,1668.25,0.86524,0.42245,0.86527,0.95794,0.94694,0.97428,0.72355,0.93342,0.44373,0.92787,0.0007426,0.0007426,0.0007426
15,1785.93,0.85849,0.41608,0.86493,0.94933,0.96045,0.97913,0.72946,0.93088,0.42934,0.92611,0.0007228,0.0007228,0.0007228
16,1904.57,0.859,0.4201,0.86179,0.94642,0.95842,0.9766,0.72768,0.939,0.43296,0.92696,0.000703,0.000703,0.000703
17,2023.31,0.84477,0.41246,0.86134,0.95622,0.95233,0.98226,0.7451,0.92027,0.42504,0.92187,0.0006832,0.0006832,0.0006832
18,2141.33,0.83904,0.40894,0.85648,0.94343,0.9645,0.98156,0.73199,0.92934,0.42976,0.93202,0.0006634,0.0006634,0.0006634
19,2259.11,0.82165,0.40084,0.85734,0.94839,0.95335,0.97917,0.73414,0.93331,0.42495,0.92966,0.0006436,0.0006436,0.0006436
20,2377.04,0.81189,0.39127,0.85708,0.93659,0.96653,0.98053,0.74071,0.92507,0.4209,0.92534,0.0006238,0.0006238,0.0006238
21,2495.24,0.81107,0.39239,0.85493,0.9513,0.95538,0.98165,0.74434,0.92095,0.41836,0.92336,0.000604,0.000604,0.000604
22,2614.69,0.81102,0.39383,0.85533,0.96368,0.9418,0.97943,0.73363,0.91264,0.42332,0.92047,0.0005842,0.0005842,0.0005842
23,2733.38,0.81276,0.39048,0.85514,0.95548,0.94929,0.97932,0.74506,0.91805,0.42378,0.92417,0.0005644,0.0005644,0.0005644
24,2852.45,0.79502,0.38552,0.84787,0.96181,0.94506,0.98068,0.738,0.92765,0.42681,0.92891,0.0005446,0.0005446,0.0005446
