epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.4607,0.93679,1.70445,0.9181,0.96877,0.92486,0.9637,0.68832,0.84759,0.48876,0.95381,0.0671587,0.000331731,0.000331731
2,128.836,0.83867,0.50043,0.88685,0.96338,0.96243,0.98822,0.71293,0.82058,0.43542,0.93378,0.0341455,0.000651896,0.000651896
3,190.005,0.84219,0.46714,0.88088,0.97123,0.97585,0.9824,0.71395,0.80787,0.42741,0.93777,0.00111912,0.000958861,0.000958861
4,250.995,0.8305,0.44902,0.88276,0.95722,0.97688,0.97813,0.72087,0.80472,0.40061,0.93819,0.0009406,0.0009406,0.0009406
5,311.588,0.79077,0.42411,0.87351,0.99122,0.97861,0.99273,0.73546,0.81131,0.4148,0.93307,0.0009208,0.0009208,0.0009208
6,372.579,0.78519,0.41612,0.87033,0.97708,0.98583,0.98955,0.75241,0.82135,0.42755,0.92872,0.000901,0.000901,0.000901
7,433.568,0.76012,0.40023,0.8654,0.97695,0.98266,0.99067,0.75807,0.76043,0.37581,0.92691,0.0008812,0.0008812,0.0008812
8,493.948,0.77554,0.40678,0.86711,0.97418,0.98157,0.99019,0.75458,0.77248,0.39057,0.93324,0.0008614,0.0008614,0.0008614
9,554.601,0.74819,0.38566,0.86427,0.97382,0.98266,0.99178,0.75979,0.76223,0.35972,0.9267,0.0008416,0.0008416,0.0008416
10,615.465,0.74689,0.38946,0.86169,0.9742,0.98225,0.99166,0.7619,0.75473,0.35651,0.929,0.0008218,0.0008218,0.0008218
11,675.866,0.74411,0.38363,0.86296,0.97313,0.97977,0.99258,0.76158,0.77369,0.37225,0.92737,0.000802,0.000802,0.000802
12,736.707,0.71953,0.37538,0.85972,0.98255,0.97639,0.98836,0.76448,0.75803,0.35575,0.92828,0.0007822,0.0007822,0.0007822
13,797.268,0.73084,0.37571,0.86464,0.98833,0.97938,0.99248,0.78245,0.76374,0.37387,0.92601,0.0007624,0.0007624,0.0007624
14,857.936,0.71518,0.37489,0.85675,0.98541,0.97606,0.99014,0.76421,0.747,0.35991,0.92414,0.0007426,0.0007426,0.0007426
15,918.71,0.72626,0.37242,0.86076,0.97827,0.97977,0.98776,0.77307,0.75039,0.36216,0.9257,0.0007228,0.0007228,0.0007228
16,979.301,0.70211,0.36876,0.85446,0.97975,0.97896,0.99185,0.77541,0.75214,0.35997,0.92453,0.000703,0.000703,0.000703
17,1040.22,0.68755,0.3594,0.84675,0.97851,0.97977,0.98402,0.76137,0.75172,0.34974,0.92486,0.0006832,0.0006832,0.0006832
18,1100.6,0.69766,0.35945,0.85761,0.98204,0.98266,0.99287,0.77991,0.7566,0.3513,0.92433,0.0006634,0.0006634,0.0006634
19,1161.31,0.68279,0.35757,0.85199,0.97917,0.97688,0.99064,0.77786,0.748,0.3422,0.92413,0.0006436,0.0006436,0.0006436
20,1222.06,0.68881,0.3565,0.85553,0.98261,0.97964,0.99202,0.77261,0.75124,0.34286,0.92379,0.0006238,0.0006238,0.0006238
